시도명,시군구명,읍면동명,삭제일자
강원도,삼척시,노곡면,
강원도,삼척시,노곡면,
강원도,삼척시,노곡면,
강원도,삼척시,노곡면,
강원도,삼척시,노곡면,
강원도,삼척시,노곡면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,미로면,
강원도,삼척시,가곡면,
강원도,삼척시,가곡면,
강원도,삼척시,가곡면,
강원도,삼척시,가곡면,
강원도,삼척시,가곡면,
강원도,삼척시,가곡면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,신기면,
강원도,삼척시,월계동,1988-04-23
강원도,삼척시,정라동,1988-04-23
강원도,삼척시,도원동,1988-04-23
강원도,춘성군,,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동면,1992-02-01
강원도,춘성군,동산면,1992-02-01
강원도,춘성군,동산면,1988-04-23
강원도,춘성군,동산면,1988-04-23
강원도,춘성군,동산면,1992-02-01
강원도,춘성군,동산면,1992-02-01
강원도,춘성군,동산면,1992-02-01
강원도,춘성군,동산면,1992-02-01
강원도,춘성군,신동면,1992-02-01
강원도,춘성군,신동면,1988-04-23
강원도,춘성군,신동면,1988-04-23
강원도,춘성군,신동면,1988-04-23
강원도,춘성군,신동면,1992-02-01
강원도,춘성군,신동면,1992-02-01
강원도,춘성군,신동면,1992-02-01
강원도,춘성군,신동면,1992-02-01
강원도,춘성군,신동면,1992-02-01
강원도,춘성군,신동면,1989-03-31
강원도,춘성군,신동면,1989-03-31
강원도,춘성군,신동면,1989-03-31
강원도,춘성군,신동면,1989-03-31
강원도,춘성군,신동면,1989-03-31
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1988-04-23
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1992-02-01
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,남면,1989-03-31
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,서면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,사북면,1992-02-01
강원도,춘성군,신북면,1992-02-01
강원도,춘성군,신북면,1988-04-23
강원도,춘성군,신북면,1992-02-01
강원도,춘성군,신북면,1992-02-01
강원도,명주군,사천면,1995-01-01
경기도,안성군,안성읍,1988-09-30
경기도,남양주군,구리읍,1988-04-23
경기도,용인군,포곡면,1996-03-01
경기도,용인군,포곡면,1996-03-01
경기도,용인군,포곡면,1996-03-01
경기도,용인군,포곡면,1996-03-01
경기도,용인군,포곡면,1996-03-01
경기도,용인군,포곡면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,모현면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1988-04-23
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,구성면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1988-04-23
경기도,용인군,수지면,1988-04-23
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,수지면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,남사면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1988-04-23
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,내사면,1996-03-01
